Temperature,Humidity,Precipitation (%),UV Index,Pressure,hour_of_day,day_of_week,month,Condition,Target_Condition
7.54,59.41,79.04,1.07,994.75,11,3,11,Rainy,Cloudy
29.28,72.96,11.1,7.48,1028.36,13,5,1,Sunny,Rainy
35.06,51.23,28.73,2.74,1008.87,16,2,7,Cloudy,Sunny
28.39,65.07,52.46,2.75,1011.66,11,1,3,Cloudy,Cloudy
23.22,87.43,45.18,1.94,985.38,13,3,5,Rainy,Cloudy
21.41,73.53,65.14,0.47,994.81,12,2,6,Rainy,Rainy
38.62,31.53,7.96,10.47,1018.68,15,4,8,Sunny,Sunny
43.96,36.13,17.43,6.26,1007.28,12,3,7,Sunny,Sunny
17.51,76.8,39.6,0.04,995.96,16,0,7,Rainy,Sunny
10.34,84.73,45.47,4.2,1013.28,16,1,11,Cloudy,Cloudy
4.39,70.29,41.18,1.11,986.87,14,4,2,Rainy,Rainy
14.06,72.28,50.3,0.0,1002.78,21,2,5,Rainy,Sunny
50.0,39.08,5.18,3.96,1012.18,8,1,5,Sunny,Sunny
24.08,67.3,64.87,0.0,1021.21,3,5,2,Cloudy,Rainy
16.84,75.86,85.92,0.08,985.4,19,0,6,Rainy,Cloudy
17.88,71.8,55.92,0.09,991.1,15,2,4,Rainy,Rainy
9.58,67.64,40.02,1.92,998.23,14,2,3,Rainy,Rainy
22.79,51.56,9.75,2.4,1015.02,15,6,9,Cloudy,Cloudy
18.92,82.02,43.02,4.53,1014.51,13,4,1,Cloudy,Cloudy
31.46,56.62,23.75,0.0,1027.74,5,4,1,Sunny,Sunny
48.31,40.71,12.96,6.18,1021.01,11,3,5,Sunny,Cloudy
14.0,87.39,43.63,0.24,988.35,18,5,6,Rainy,Sunny
37.99,39.11,15.5,2.89,1024.41,8,2,10,Sunny,Rainy
10.85,94.31,38.86,0.0,975.67,5,4,2,Rainy,Rainy
21.14,87.04,67.7,0.0,1014.28,0,1,2,Cloudy,Cloudy
37.12,38.12,40.71,4.91,1010.24,10,1,9,Sunny,Sunny
25.23,79.18,39.32,1.86,982.06,13,0,5,Rainy,Cloudy
32.34,26.89,36.52,0.0,1004.18,6,3,10,Sunny,Rainy
25.48,74.95,47.17,0.63,1021.52,19,6,7,Cloudy,Cloudy
14.86,60.43,66.58,0.68,982.11,12,4,3,Rainy,Rainy
24.5,18.08,2.27,0.0,1013.74,4,6,12,Sunny,Sunny
10.87,86.05,70.25,0.0,1013.12,22,1,12,Cloudy,Rainy
39.09,54.25,32.85,7.36,1016.45,9,2,2,Sunny,Rainy
12.65,78.46,43.94,0.42,973.03,17,6,5,Rainy,Rainy
20.96,62.13,63.5,0.5,998.42,10,1,7,Rainy,Rainy
36.55,19.66,21.89,6.78,1014.66,15,1,9,Sunny,Sunny
18.6,53.2,17.57,1.91,1021.33,8,3,12,Cloudy,Rainy
44.72,73.66,2.09,3.78,1006.24,8,4,5,Sunny,Cloudy
10.65,77.82,68.22,1.41,1015.09,19,6,12,Cloudy,Cloudy
22.07,75.89,64.5,0.0,1001.53,6,5,12,Cloudy,Cloudy
37.6,69.12,26.65,4.38,1018.49,11,5,4,Cloudy,Sunny
8.97,90.71,53.25,0.71,999.39,8,5,11,Rainy,Rainy
15.66,79.8,82.96,0.23,978.6,17,2,7,Rainy,Rainy
20.05,90.35,62.99,1.21,974.44,15,5,6,Rainy,Rainy
31.86,73.42,25.66,9.24,1012.37,16,4,9,Sunny,Sunny
37.17,67.93,26.86,0.71,1005.24,7,2,7,Cloudy,Cloudy
40.76,66.26,12.96,0.0,1029.76,1,1,6,Sunny,Sunny
36.43,80.3,61.34,0.0,999.45,6,2,7,Cloudy,Sunny
11.76,64.77,29.05,1.0,994.69,16,3,3,Rainy,Sunny
21.81,69.23,49.7,0.99,987.27,9,4,4,Rainy,Cloudy
9.76,90.53,87.86,0.74,973.56,16,1,3,Rainy,Cloudy
24.53,95.9,63.27,0.44,974.39,7,3,6,Rainy,Rainy
29.89,33.05,15.4,10.4,1002.4,11,3,11,Sunny,Rainy
16.75,88.6,57.08,0.0,976.91,5,6,9,Rainy,Rainy
21.09,90.15,50.17,0.92,1003.42,15,0,6,Rainy,Rainy
15.23,66.21,17.04,5.85,997.48,14,3,11,Cloudy,Cloudy
12.69,62.14,31.06,5.15,995.29,14,0,12,Cloudy,Cloudy
24.94,78.15,54.92,0.0,1007.88,5,5,10,Cloudy,Cloudy
21.9,76.93,52.24,0.0,992.03,6,4,5,Rainy,Rainy
7.62,59.19,31.57,0.8,984.93,8,1,10,Rainy,Cloudy
38.71,19.39,14.0,7.27,1001.63,9,6,3,Sunny,Sunny
33.55,29.29,22.97,8.37,1029.92,11,3,10,Sunny,Sunny
35.01,60.24,11.42,0.0,1021.45,6,0,1,Sunny,Cloudy
13.79,69.63,19.84,0.0,1001.61,22,2,10,Cloudy,Cloudy
12.77,83.19,37.4,0.15,992.82,8,4,10,Rainy,Rainy
16.91,87.41,93.21,0.15,1012.14,17,5,4,Rainy,Rainy
37.25,21.58,26.15,7.31,1006.47,11,0,3,Sunny,Sunny
5.8,84.02,68.92,0.27,988.89,18,4,2,Rainy,Rainy
37.02,68.18,2.81,2.71,1026.16,18,4,4,Sunny,Sunny
34.64,56.21,39.47,5.64,998.11,13,1,8,Cloudy,Rainy
16.9,49.28,69.8,1.67,1020.39,17,4,9,Cloudy,Cloudy
17.72,66.85,66.71,1.21,1018.39,7,2,11,Cloudy,Cloudy
27.57,70.42,25.52,9.01,1015.36,13,5,1,Sunny,Cloudy
35.06,54.1,64.4,2.78,1001.4,9,5,6,Cloudy,Rainy
34.31,34.0,13.58,2.29,1009.34,7,6,12,Sunny,Sunny
11.42,47.6,70.39,3.17,1001.7,16,1,1,Cloudy,Rainy
27.65,45.23,18.98,0.92,1003.93,19,1,7,Cloudy,Rainy
34.14,59.67,7.46,0.0,1029.95,0,5,2,Sunny,Cloudy
17.62,89.67,93.8,1.42,987.65,10,4,3,Rainy,Sunny
17.83,84.84,41.55,2.06,996.03,13,5,1,Cloudy,Rainy
11.17,92.76,82.68,1.31,1005.22,16,6,4,Rainy,Rainy
10.21,72.42,80.3,0.22,995.95,10,6,12,Rainy,Rainy
42.37,46.23,6.24,3.89,1015.1,9,2,3,Sunny,Sunny
20.04,66.55,59.07,3.73,1003.51,11,1,2,Cloudy,Cloudy
36.61,57.4,32.19,4.44,1014.51,10,0,8,Cloudy,Sunny
13.97,95.24,34.79,0.5,1008.21,10,1,9,Rainy,Rainy
28.9,63.66,18.46,6.3,1021.28,13,4,12,Sunny,Sunny
31.09,22.62,10.69,0.0,1002.77,1,2,3,Sunny,Sunny
9.95,60.17,76.6,0.18,974.91,13,6,10,Rainy,Rainy
19.41,81.34,47.31,0.0,973.66,2,6,8,Rainy,Rainy
32.67,73.85,22.87,4.98,1009.31,9,5,11,Sunny,Cloudy
23.77,48.0,52.3,4.16,1019.12,16,6,4,Cloudy,Sunny
38.39,62.19,34.11,5.55,995.02,11,0,6,Cloudy,Sunny
34.61,47.96,40.56,0.0,1001.13,6,3,1,Sunny,Cloudy
25.65,68.77,59.32,0.11,990.66,10,5,5,Rainy,Rainy
37.87,34.8,10.32,0.0,1005.51,6,2,10,Sunny,Sunny
24.44,81.22,46.67,1.81,991.11,12,2,7,Rainy,Sunny
18.5,86.69,64.77,0.0,1022.37,6,6,10,Cloudy,Cloudy
48.45,74.22,21.92,0.0,1024.97,6,6,7,Sunny,Sunny
33.69,53.83,36.03,4.07,1016.98,18,4,8,Sunny,Sunny
4.96,75.22,58.84,1.51,1005.59,12,5,12,Rainy,Cloudy
31.74,86.94,66.5,4.83,1006.69,12,0,3,Cloudy,Sunny
7.73,82.92,44.16,3.09,997.24,17,3,11,Cloudy,Cloudy
37.92,60.4,35.42,10.62,1020.31,13,5,9,Sunny,Sunny
5.28,58.44,79.77,0.19,1008.31,13,3,11,Rainy,Rainy
45.95,21.31,39.78,3.7,1028.6,8,4,4,Sunny,Sunny
0.83,92.6,71.46,1.54,986.78,15,0,12,Rainy,Rainy
33.35,72.6,32.32,7.84,1018.52,10,5,11,Sunny,Cloudy
6.05,78.56,71.59,0.24,1001.06,18,3,3,Rainy,Rainy
-0.43,63.09,57.35,0.46,982.07,16,1,12,Rainy,Rainy
10.44,52.7,31.2,5.27,1003.96,15,3,1,Cloudy,Cloudy
11.69,79.64,69.29,0.92,1004.69,15,1,3,Rainy,Rainy
31.6,65.16,55.33,0.0,999.26,6,4,9,Cloudy,Cloudy
29.03,64.64,51.06,3.76,1007.91,9,2,8,Cloudy,Sunny
46.45,35.8,31.73,7.86,1012.96,13,1,5,Sunny,Sunny
33.17,55.79,41.71,5.0,1022.36,8,6,1,Sunny,Rainy
21.1,84.0,43.35,2.54,1017.61,11,1,1,Cloudy,Cloudy
2.92,58.05,77.52,0.21,983.1,16,0,10,Rainy,Rainy
22.98,80.58,46.9,3.53,1022.08,13,4,3,Cloudy,Cloudy
31.77,18.03,13.81,9.84,1007.32,14,5,10,Sunny,Sunny
7.83,84.12,32.68,0.98,1018.8,19,0,12,Cloudy,Rainy
11.44,48.28,31.74,0.0,998.25,20,4,10,Cloudy,Rainy
36.87,30.49,2.56,4.62,1016.82,8,4,10,Sunny,Cloudy
39.05,62.19,17.01,4.57,1028.58,8,2,2,Sunny,Cloudy
26.89,28.43,5.51,0.0,1018.15,21,2,3,Sunny,Cloudy
19.15,55.3,9.64,2.89,1006.18,15,2,2,Cloudy,Cloudy
41.03,46.58,6.77,4.73,1029.0,16,6,7,Sunny,Sunny
36.79,63.11,58.68,5.18,1005.28,11,3,5,Cloudy,Rainy
30.03,53.07,35.33,2.76,1011.73,15,3,6,Cloudy,Rainy
9.66,78.96,97.93,1.48,983.11,15,1,9,Rainy,Rainy
37.91,70.35,5.66,8.48,1012.97,11,1,10,Sunny,Sunny
27.07,71.13,58.35,3.02,1007.34,14,0,6,Cloudy,Sunny
22.74,72.07,63.79,3.52,1018.0,16,5,3,Cloudy,Rainy
25.96,25.31,9.4,0.0,1022.35,1,3,1,Sunny,Rainy
37.38,21.81,20.18,4.44,1004.46,18,5,8,Sunny,Cloudy
26.18,79.01,60.05,0.0,1012.58,2,4,3,Cloudy,Cloudy
30.55,51.95,13.61,4.74,1026.25,17,6,9,Sunny,Cloudy
32.51,57.99,32.18,11.14,1010.12,13,4,3,Sunny,Sunny
25.67,78.7,38.11,2.68,1004.33,9,6,2,Cloudy,Rainy
43.95,47.48,2.08,5.32,1026.56,16,3,8,Sunny,Sunny
0.36,86.5,99.7,0.98,983.84,14,0,1,Rainy,Cloudy
4.84,90.88,34.68,0.49,1004.25,8,1,12,Rainy,Cloudy
31.73,31.44,29.09,10.64,1009.48,15,2,1,Sunny,Sunny
15.57,65.42,12.85,3.57,1014.04,12,3,11,Cloudy,Cloudy
49.02,54.14,15.17,5.18,1020.37,8,2,7,Sunny,Sunny
1.83,83.83,32.62,0.0,999.4,21,3,10,Rainy,Cloudy
28.62,76.76,68.27,0.0,1013.86,3,0,3,Cloudy,Rainy
26.89,55.96,25.82,6.82,1019.34,14,4,1,Sunny,Sunny
29.44,73.71,10.47,0.0,1013.69,22,2,7,Cloudy,Sunny
26.03,85.96,65.48,3.78,997.12,17,3,7,Cloudy,Cloudy
30.86,83.22,45.09,2.47,1008.85,9,2,4,Cloudy,Cloudy
48.11,33.74,11.9,6.46,1026.32,14,5,6,Sunny,Sunny
33.29,23.88,7.9,7.83,1027.63,13,0,10,Sunny,Cloudy
32.68,76.64,53.47,5.95,1008.38,12,5,3,Cloudy,Sunny
12.51,60.74,92.15,1.71,983.46,15,0,8,Rainy,Cloudy
33.67,51.6,13.75,9.33,1027.1,16,5,3,Sunny,Sunny
20.84,55.06,24.67,0.0,1013.46,20,4,9,Cloudy,Sunny
34.99,24.47,9.02,0.0,1006.04,5,5,2,Sunny,Sunny
50.0,43.95,19.41,5.75,1013.42,9,2,6,Sunny,Sunny
18.46,55.41,71.82,1.59,1007.53,18,3,3,Cloudy,Cloudy
12.58,77.66,44.02,0.09,1006.62,8,0,2,Rainy,Sunny
23.24,65.34,97.23,0.0,1012.41,3,6,6,Rainy,Sunny
35.64,39.94,8.86,8.17,1022.78,15,5,8,Sunny,Sunny
38.29,47.3,10.46,6.74,1016.29,9,2,10,Sunny,Sunny
9.78,70.62,45.7,0.0,1020.43,1,4,11,Cloudy,Cloudy
23.5,74.56,4.35,0.0,1013.05,22,4,11,Sunny,Sunny
29.91,52.41,51.94,4.82,1002.22,11,2,3,Cloudy,Cloudy
45.28,20.2,7.7,0.0,1026.91,6,3,6,Sunny,Rainy
12.04,48.7,67.87,0.77,1020.6,19,2,11,Cloudy,Sunny
39.36,41.82,23.51,7.0,1001.64,17,1,8,Sunny,Rainy
30.51,59.57,14.94,6.45,1004.19,13,0,6,Cloudy,Sunny
22.19,74.33,34.25,0.92,1008.86,8,2,1,Cloudy,Cloudy
15.83,85.67,55.52,5.46,1015.84,12,2,11,Cloudy,Cloudy
40.48,44.45,35.12,0.0,1006.23,23,1,6,Sunny,Sunny
39.15,46.1,33.64,1.64,1011.27,19,1,7,Sunny,Sunny
18.11,59.48,79.45,0.23,975.74,7,0,4,Rainy,Sunny
18.45,51.95,8.94,2.52,1019.51,9,6,12,Cloudy,Rainy
19.96,52.04,36.84,0.0,996.23,20,4,3,Cloudy,Rainy
14.7,75.57,37.03,0.12,1012.17,8,3,3,Rainy,Cloudy
6.93,82.47,52.35,0.28,1010.49,19,2,9,Rainy,Rainy
23.02,79.73,36.97,1.6,1021.27,17,3,8,Cloudy,Cloudy
6.97,90.13,39.49,1.63,979.71,15,2,11,Rainy,Rainy
28.57,59.47,68.51,2.12,1012.13,9,5,2,Cloudy,Rainy
24.08,27.92,15.88,6.55,1024.31,16,0,12,Sunny,Rainy
10.17,76.66,55.81,0.52,980.53,12,0,2,Rainy,Rainy
41.79,23.79,0.09,5.97,1002.4,9,2,3,Sunny,Cloudy
9.71,65.27,38.26,0.0,985.09,1,6,3,Rainy,Rainy
34.69,55.59,10.89,2.33,1019.07,15,4,6,Cloudy,Sunny
23.85,82.54,71.25,0.38,989.51,7,6,5,Rainy,Sunny
22.43,73.17,54.68,0.52,1008.25,10,6,6,Rainy,Rainy
6.85,64.53,44.17,0.77,996.51,18,2,9,Rainy,Cloudy
13.16,83.83,39.89,0.84,980.3,18,6,4,Rainy,Rainy
47.26,49.01,0.4,8.79,1012.36,11,2,6,Sunny,Rainy
27.12,36.19,34.33,0.0,1026.41,2,0,1,Sunny,Sunny
50.0,34.72,34.4,0.0,1003.03,5,3,7,Sunny,Cloudy
35.71,60.93,24.74,0.0,1007.76,20,3,7,Sunny,Cloudy
26.39,69.65,54.1,0.27,995.13,11,0,6,Rainy,Rainy
22.68,51.72,13.6,0.0,1021.76,20,2,1,Sunny,Sunny
33.72,61.39,65.14,5.04,1008.73,12,3,4,Cloudy,Cloudy
13.9,75.63,83.27,0.6,992.16,18,5,7,Rainy,Rainy
10.19,68.77,58.67,1.03,1012.94,16,5,8,Rainy,Rainy
18.34,88.71,86.87,0.91,1004.73,13,4,4,Rainy,Cloudy
16.27,67.0,54.58,0.33,1001.42,15,6,8,Rainy,Rainy
21.24,45.69,55.23,0.0,1020.76,5,6,1,Cloudy,Cloudy
18.11,71.7,55.36,0.22,990.65,12,6,4,Rainy,Sunny
48.75,44.1,21.32,1.58,1004.04,7,5,8,Sunny,Sunny
30.17,33.24,21.57,8.52,1020.2,16,4,1,Sunny,Sunny
27.46,18.2,30.57,3.88,1020.83,17,5,1,Sunny,Sunny
31.63,54.1,38.96,0.0,1017.68,20,3,9,Sunny,Sunny
15.13,65.97,38.3,1.25,997.93,19,3,11,Cloudy,Cloudy
34.38,50.25,17.81,4.25,1014.41,17,4,4,Sunny,Sunny
18.98,82.75,36.31,3.27,1009.25,13,6,12,Cloudy,Cloudy
31.75,66.52,3.29,4.3,1010.0,9,6,12,Sunny,Rainy
39.42,66.85,49.35,5.43,1020.3,12,3,7,Cloudy,Cloudy
42.49,33.52,22.09,10.54,1023.39,13,0,4,Sunny,Rainy
47.49,25.54,28.43,4.1,1020.58,9,2,5,Sunny,Rainy
34.64,33.63,14.53,4.0,1021.47,8,0,1,Sunny,Sunny
21.92,74.76,69.46,0.27,979.68,7,6,4,Rainy,Cloudy
24.9,53.92,65.8,1.05,1005.93,19,2,9,Cloudy,Sunny
36.27,63.58,54.62,3.95,1006.99,10,0,8,Cloudy,Cloudy
42.79,46.89,19.38,0.0,1029.72,6,4,3,Sunny,Sunny
33.19,51.74,19.85,6.1,1009.61,16,0,9,Sunny,Cloudy
8.7,54.67,58.16,0.0,1005.19,23,5,1,Cloudy,Cloudy
13.66,92.77,57.43,0.92,1004.98,13,2,9,Rainy,Rainy
17.46,69.3,68.6,0.31,993.97,8,5,3,Rainy,Rainy
33.48,59.98,33.31,8.62,1007.4,10,0,12,Sunny,Cloudy
11.19,78.15,39.0,0.32,987.48,18,2,9,Rainy,Cloudy
26.35,77.03,60.22,3.54,1000.38,12,2,9,Cloudy,Sunny
30.03,30.66,40.55,6.21,1004.61,17,4,2,Sunny,Sunny
42.11,27.74,23.62,8.24,1025.63,10,2,3,Sunny,Sunny
38.43,45.56,16.08,0.0,1015.86,2,5,8,Sunny,Rainy
42.81,32.39,40.13,2.0,1015.24,7,3,8,Sunny,Sunny
27.39,76.84,22.4,0.0,1006.62,6,0,2,Cloudy,Rainy
15.11,73.56,48.2,2.37,1012.43,15,3,11,Cloudy,Sunny
9.9,89.23,37.89,0.08,999.19,8,3,11,Rainy,Rainy
17.43,59.81,72.72,0.61,973.5,14,6,7,Rainy,Rainy
16.73,54.35,67.44,6.11,1005.04,13,3,1,Cloudy,Cloudy
34.98,20.76,17.02,0.0,1006.33,4,0,2,Sunny,Sunny
25.19,52.41,54.03,1.57,999.44,8,6,2,Cloudy,Cloudy
4.41,64.18,77.43,0.0,998.49,4,0,1,Rainy,Rainy
18.37,72.81,88.76,0.56,974.17,10,6,9,Rainy,Sunny
29.34,36.84,32.83,0.0,1009.36,21,6,2,Sunny,Sunny
26.23,96.88,50.02,0.1,996.46,8,1,8,Rainy,Rainy
13.27,93.2,61.18,0.0,994.26,14,2,4,Rainy,Sunny
21.93,53.44,18.33,3.43,1000.39,15,6,10,Cloudy,Rainy
40.73,57.53,7.63,6.46,1003.84,12,6,3,Sunny,Rainy
20.76,86.99,34.98,0.68,989.52,14,5,7,Rainy,Rainy
13.8,76.62,73.54,0.74,987.84,18,5,8,Rainy,Rainy
17.49,81.7,68.46,0.03,976.86,15,6,8,Rainy,Rainy
7.39,57.56,32.18,0.0,995.91,0,2,11,Cloudy,Cloudy
15.62,90.78,47.87,0.0,985.99,0,6,4,Rainy,Rainy
41.6,35.43,39.11,3.84,1007.36,18,6,5,Sunny,Cloudy
40.34,39.58,29.11,2.69,1007.49,18,6,6,Sunny,Sunny
30.08,39.88,41.58,4.61,1005.23,17,5,9,Sunny,Sunny
31.34,49.68,17.02,0.0,1007.11,23,2,3,Sunny,Sunny
23.13,61.3,18.65,2.48,997.42,17,0,6,Cloudy,Cloudy
25.82,60.24,13.28,7.2,1023.14,17,3,10,Sunny,Sunny
29.2,73.88,50.96,0.0,1016.56,3,3,7,Cloudy,Cloudy
40.52,38.54,21.87,0.0,1001.98,23,6,5,Sunny,Sunny
40.0,72.55,37.75,0.0,1014.64,4,1,9,Sunny,Rainy
38.14,42.93,34.57,7.52,1027.79,16,1,4,Sunny,Rainy
-0.21,98.55,77.33,0.99,982.76,17,2,11,Rainy,Rainy
18.99,87.71,64.12,1.66,1018.71,18,2,3,Cloudy,Cloudy
37.69,83.71,69.03,0.78,1006.15,7,5,7,Cloudy,Cloudy
12.96,81.99,34.6,0.0,1012.51,6,1,2,Rainy,Sunny
13.21,71.69,71.21,3.07,1019.15,17,0,2,Cloudy,Rainy
24.04,59.44,41.97,6.91,1029.72,16,1,1,Sunny,Rainy
17.55,47.22,68.2,0.0,1018.49,5,5,11,Cloudy,Sunny
33.14,34.49,25.81,4.34,1016.94,17,1,10,Sunny,Cloudy
30.48,77.16,49.38,2.71,1021.52,8,5,3,Cloudy,Cloudy
26.78,30.97,41.47,8.05,1017.24,16,2,1,Sunny,Cloudy
32.49,50.55,30.66,3.8,1013.57,11,6,7,Cloudy,Cloudy
30.3,58.34,25.72,2.2,1011.15,11,0,4,Cloudy,Cloudy
11.01,66.35,34.19,0.27,982.12,15,1,3,Rainy,Rainy
27.81,72.01,46.66,0.73,1010.5,7,2,3,Cloudy,Cloudy
-1.15,70.19,62.99,0.34,974.34,17,3,12,Rainy,Sunny
15.32,70.23,71.7,1.05,976.55,17,5,7,Rainy,Rainy
13.95,98.62,44.66,0.0,973.6,21,0,6,Rainy,Rainy
22.32,57.07,53.97,1.11,998.79,7,0,2,Cloudy,Cloudy
25.21,70.64,75.26,1.25,1001.6,13,2,5,Rainy,Cloudy
23.18,70.62,26.07,0.0,1010.72,3,3,9,Cloudy,Cloudy
16.97,62.74,49.36,0.59,1000.31,11,1,4,Rainy,Cloudy
17.46,98.17,60.78,1.16,980.49,12,4,3,Rainy,Rainy
17.25,74.91,43.22,0.48,980.86,18,0,7,Rainy,Rainy
22.64,63.65,40.93,1.03,991.07,10,5,6,Rainy,Rainy
14.75,84.7,86.31,0.0,983.78,1,1,9,Rainy,Rainy
45.04,26.46,31.13,8.99,1008.25,11,1,8,Sunny,Sunny
17.98,67.79,87.98,1.33,986.2,11,4,8,Rainy,Rainy
13.36,67.27,68.21,0.0,982.5,22,2,7,Rainy,Rainy
32.98,55.64,35.0,7.33,1022.05,10,2,1,Sunny,Cloudy
24.2,91.6,45.31,0.11,976.67,12,1,5,Rainy,Cloudy
32.68,68.77,24.7,0.0,1027.61,2,3,2,Sunny,Sunny
37.46,48.34,3.63,4.97,1007.68,17,4,8,Sunny,Rainy
36.91,73.05,51.23,1.91,1020.83,8,1,6,Cloudy,Cloudy
20.63,63.04,93.0,1.49,1004.87,10,5,4,Rainy,Sunny
35.0,32.28,3.36,6.89,1012.69,10,4,11,Sunny,Sunny
22.54,70.38,15.56,0.0,1015.87,4,3,9,Cloudy,Sunny
50.0,69.57,3.57,3.26,1005.47,8,4,6,Sunny,Sunny
42.47,68.05,27.76,2.48,1009.84,19,2,6,Sunny,Sunny
36.34,85.49,46.73,5.04,1000.07,15,1,7,Cloudy,Sunny
29.1,55.43,19.83,6.11,1005.53,17,2,2,Sunny,Sunny
25.06,63.78,59.02,0.59,1011.59,8,1,7,Rainy,Sunny
37.91,65.93,57.5,0.51,999.73,7,6,4,Cloudy,Cloudy
39.45,45.81,4.84,0.0,1015.08,2,3,7,Sunny,Sunny
41.46,32.87,30.63,0.0,1021.78,20,6,6,Sunny,Sunny
19.4,82.3,73.95,0.5,978.62,13,4,8,Rainy,Cloudy
20.83,87.0,42.22,2.24,1003.83,16,5,8,Cloudy,Sunny
43.82,35.02,22.8,4.5,1013.57,8,2,5,Sunny,Sunny
35.23,40.17,28.08,5.42,1028.21,10,4,2,Sunny,Rainy
17.75,94.18,40.96,0.0,974.99,23,1,6,Rainy,Rainy
43.03,56.37,11.43,6.31,1001.2,10,1,4,Sunny,Sunny
45.91,63.17,13.23,0.0,1017.46,4,4,6,Sunny,Sunny
16.6,54.09,41.21,4.29,1014.94,12,5,12,Cloudy,Cloudy
36.73,71.69,35.69,2.76,1025.5,18,2,4,Sunny,Cloudy
21.79,68.47,24.54,0.0,1016.31,22,4,4,Cloudy,Sunny
32.21,65.96,8.69,7.3,1029.69,10,4,11,Sunny,Cloudy
31.95,65.63,27.22,0.54,1010.77,7,4,4,Cloudy,Sunny
46.85,35.17,34.92,7.24,1020.26,9,0,6,Sunny,Rainy
5.93,92.37,35.41,1.04,998.81,13,1,1,Rainy,Sunny
35.61,51.62,40.76,2.17,1002.76,19,3,4,Sunny,Sunny
41.33,53.1,25.05,0.0,1013.83,1,0,6,Sunny,Sunny
2.46,69.06,86.42,0.67,992.09,15,2,12,Rainy,Rainy
11.09,61.7,10.65,1.3,996.88,19,4,10,Cloudy,Rainy
16.68,65.06,88.68,0.83,1004.54,8,2,10,Rainy,Sunny
4.46,91.42,29.83,0.21,1001.28,19,0,2,Rainy,Rainy
37.01,71.88,37.36,10.49,1022.8,12,0,9,Sunny,Sunny
13.75,61.82,42.28,1.74,976.16,12,5,3,Rainy,Rainy
34.37,63.32,43.34,1.54,995.7,9,1,7,Cloudy,Cloudy
32.05,59.24,68.92,0.0,1003.54,3,5,5,Cloudy,Rainy
