Temperature,Humidity,Precipitation (%),UV Index,Pressure,hour_of_day,day_of_week,month,Condition,Target_Condition
19.79,93.23,99.11,0.32,983.51,9,4,9,Rainy,Cloudy
42.58,15.92,9.76,8.61,1020.8,15,4,5,Sunny,Sunny
48.56,41.99,13.31,1.85,1006.17,8,5,5,Sunny,Cloudy
8.77,81.36,40.15,1.1,990.72,12,1,10,Rainy,Cloudy
4.13,72.33,70.97,0.32,1004.26,16,0,10,Rainy,Cloudy
18.51,93.83,77.03,0.39,983.86,12,3,8,Rainy,Sunny
28.64,70.01,21.37,3.71,1017.53,12,6,8,Cloudy,Cloudy
22.4,86.03,40.32,0.5,996.0,13,4,6,Rainy,Rainy
31.68,61.32,44.77,2.37,997.41,11,6,6,Cloudy,Cloudy
35.75,15.33,13.87,8.02,1027.32,11,2,10,Sunny,Sunny
15.96,83.63,85.97,0.04,978.24,18,5,7,Rainy,Sunny
10.38,80.84,24.03,0.0,997.21,22,6,2,Cloudy,Sunny
18.87,79.9,64.51,0.0,996.57,0,6,7,Rainy,Sunny
25.88,22.96,8.92,2.79,1019.24,18,4,11,Sunny,Sunny
32.83,50.45,16.47,8.31,1028.6,13,6,2,Sunny,Sunny
22.39,70.11,18.14,1.74,1007.48,10,5,11,Cloudy,Cloudy
42.57,43.9,17.35,11.51,1015.95,13,5,5,Sunny,Sunny
39.64,29.38,14.91,5.72,1009.68,15,0,9,Sunny,Cloudy
8.34,76.9,54.18,0.0,991.79,7,6,11,Rainy,Rainy
37.75,62.75,15.23,0.0,1007.97,4,2,6,Cloudy,Sunny
29.26,22.22,9.35,0.0,1010.19,23,0,3,Sunny,Sunny
16.15,73.65,50.2,0.63,979.58,17,3,7,Rainy,Rainy
9.33,86.0,53.16,1.18,997.51,11,6,1,Rainy,Rainy
9.87,50.15,17.95,1.05,1011.68,17,5,12,Cloudy,Rainy
31.24,46.56,3.85,0.0,1027.07,20,2,3,Sunny,Sunny
32.65,25.55,4.89,2.04,1024.26,18,4,2,Sunny,Cloudy
39.67,42.87,15.09,0.0,1021.0,21,3,4,Sunny,Sunny
1.87,68.86,87.02,0.24,977.19,18,2,10,Rainy,Rainy
48.36,47.14,12.18,5.95,1007.13,9,5,4,Sunny,Sunny
37.78,46.36,12.15,8.86,1005.04,11,6,3,Sunny,Sunny
2.72,77.03,66.11,0.93,993.57,16,0,2,Rainy,Rainy
50.0,37.52,21.42,3.57,1026.4,10,2,5,Sunny,Sunny
22.65,81.51,49.2,1.76,1018.23,14,4,10,Cloudy,Sunny
17.96,53.48,26.53,1.92,1009.03,15,4,1,Cloudy,Cloudy
7.13,76.41,61.05,0.12,985.02,10,1,12,Rainy,Cloudy
23.36,80.52,51.66,0.29,986.54,10,5,7,Rainy,Rainy
30.45,43.46,15.41,0.0,1017.26,3,4,10,Sunny,Sunny
19.41,72.08,51.63,0.0,999.48,2,1,6,Rainy,Sunny
8.96,70.13,55.52,0.0,1009.12,5,3,1,Rainy,Rainy
33.17,72.79,19.02,2.12,1009.82,15,2,6,Cloudy,Sunny
4.3,95.04,91.94,0.44,1006.49,15,6,11,Rainy,Cloudy
34.1,17.77,17.34,0.0,1023.71,19,5,8,Sunny,Sunny
29.39,44.55,36.46,0.0,1003.5,0,2,6,Cloudy,Cloudy
32.54,43.52,15.07,4.25,1018.82,14,4,5,Cloudy,Cloudy
50.0,27.22,12.26,2.69,1014.16,8,6,7,Sunny,Sunny
50.0,24.66,1.42,1.54,1021.28,8,2,4,Sunny,Rainy
33.11,73.68,24.28,3.22,1019.01,13,6,6,Cloudy,Cloudy
32.06,66.74,40.8,0.0,999.07,1,4,7,Cloudy,Cloudy
23.98,42.24,21.13,4.71,1009.13,17,4,12,Sunny,Cloudy
34.84,70.49,18.37,2.43,1016.48,10,4,6,Cloudy,Cloudy
40.46,46.52,5.69,5.38,1011.61,15,4,4,Sunny,Rainy
27.8,52.49,9.08,8.48,1019.17,12,5,12,Sunny,Cloudy
40.53,33.88,10.64,2.91,1022.24,8,2,9,Sunny,Cloudy
46.68,50.23,3.28,0.0,1021.56,7,4,4,Sunny,Sunny
40.05,31.18,15.81,4.34,1010.35,17,1,4,Sunny,Cloudy
12.14,48.66,27.76,3.63,1008.99,15,6,1,Cloudy,Rainy
7.87,96.07,42.9,0.43,1008.64,11,0,1,Rainy,Rainy
21.26,45.98,38.55,0.0,1001.71,5,0,1,Cloudy,Cloudy
19.54,75.27,42.5,1.28,990.7,15,6,7,Rainy,Cloudy
31.76,68.52,38.6,2.98,1007.31,15,5,6,Cloudy,Cloudy
33.84,23.3,11.88,7.48,1019.35,15,6,2,Sunny,Sunny
9.91,81.61,84.48,0.8,1008.21,13,1,3,Rainy,Rainy
37.48,35.16,14.73,3.56,1005.67,17,6,8,Sunny,Sunny
23.74,70.78,60.79,0.0,1005.96,5,2,5,Rainy,Rainy
17.81,54.79,23.97,2.26,1014.62,9,5,12,Cloudy,Cloudy
6.06,96.8,54.9,1.22,993.12,11,4,12,Rainy,Rainy
13.01,63.93,47.21,0.0,1014.78,23,4,11,Cloudy,Rainy
26.45,40.94,21.84,5.16,1014.89,15,1,2,Sunny,Sunny
8.94,73.33,65.89,0.13,1000.03,13,1,2,Rainy,Rainy
23.12,35.48,3.88,0.0,1017.47,20,3,12,Sunny,Rainy
21.39,59.86,17.99,2.53,1013.66,16,4,2,Cloudy,Cloudy
14.81,75.9,42.47,0.85,1007.3,17,0,9,Cloudy,Cloudy
29.13,79.74,22.66,2.59,1019.81,11,5,5,Cloudy,Cloudy
38.44,46.84,14.5,0.64,1002.76,8,2,5,Cloudy,Cloudy
-1.4,71.57,45.91,0.0,1008.68,19,5,1,Rainy,Cloudy
24.43,70.94,43.56,1.2,1015.63,16,1,5,Cloudy,Cloudy
19.1,75.74,90.88,1.17,1004.17,14,5,6,Rainy,Rainy
44.38,54.84,17.0,0.0,1026.93,7,6,8,Sunny,Sunny
46.72,39.76,14.35,7.36,1026.51,14,2,5,Sunny,Sunny
2.33,85.64,55.14,0.92,1008.54,14,4,11,Rainy,Rainy
17.11,87.15,73.13,0.78,989.24,11,0,4,Rainy,Sunny
21.94,18.53,15.26,1.63,1015.16,18,3,12,Sunny,Rainy
44.66,38.76,19.3,5.78,1018.12,10,4,4,Sunny,Sunny
19.95,87.17,67.92,1.35,984.7,13,4,5,Rainy,Rainy
42.26,37.44,20.26,4.96,1007.66,14,1,7,Sunny,Sunny
13.06,73.11,10.43,3.21,1016.53,16,3,12,Cloudy,Cloudy
18.7,98.89,49.79,1.37,977.66,14,5,6,Rainy,Rainy
19.74,60.77,43.85,1.67,1008.49,17,2,3,Cloudy,Sunny
19.06,74.43,8.71,4.25,1007.8,11,3,2,Cloudy,Cloudy
35.91,80.23,12.47,2.31,1010.42,15,6,7,Cloudy,Cloudy
15.22,88.45,47.83,0.98,993.2,16,0,6,Rainy,Rainy
32.31,45.33,2.86,10.65,1014.93,13,5,1,Sunny,Rainy
10.33,94.42,94.87,0.31,975.97,12,4,10,Rainy,Rainy
43.01,52.26,0.95,2.6,1020.36,17,2,6,Sunny,Cloudy
28.83,46.41,38.15,2.86,998.56,10,2,3,Cloudy,Cloudy
49.58,35.76,14.65,0.0,1024.94,5,1,6,Sunny,Sunny
22.82,91.08,68.27,0.09,975.89,13,1,6,Rainy,Rainy
-0.16,85.12,40.6,0.46,1003.57,16,6,1,Rainy,Rainy
40.66,31.44,2.75,0.0,1009.26,7,2,10,Sunny,Rainy
23.39,68.15,45.3,0.0,1004.1,20,6,7,Cloudy,Cloudy
29.75,52.4,13.52,0.0,999.23,19,0,6,Cloudy,Cloudy
33.84,15.47,17.29,4.27,1022.34,16,6,3,Sunny,Cloudy
25.4,97.9,72.34,0.34,1004.79,8,4,7,Rainy,Cloudy
7.25,96.24,43.52,1.19,978.31,12,4,12,Rainy,Rainy
33.24,74.32,40.85,1.02,1019.19,9,1,5,Cloudy,Cloudy
33.34,52.24,40.65,3.49,1005.24,12,3,6,Cloudy,Sunny
23.07,74.51,39.14,4.14,1007.96,13,5,10,Cloudy,Sunny
21.54,67.78,37.75,0.64,997.39,18,0,8,Cloudy,Sunny
23.85,62.5,26.8,2.39,1001.96,9,2,10,Cloudy,Cloudy
30.81,50.2,8.58,5.95,1026.09,14,2,11,Sunny,Sunny
3.68,68.94,93.11,0.99,1005.65,16,6,10,Rainy,Rainy
37.58,20.48,9.67,0.0,1019.08,20,0,5,Sunny,Rainy
15.62,64.3,24.39,1.22,1018.11,18,6,9,Cloudy,Sunny
8.86,86.71,66.44,0.24,1003.21,9,2,1,Rainy,Cloudy
30.13,47.08,15.06,0.0,1008.83,7,0,8,Cloudy,Rainy
31.69,29.31,16.01,8.66,1008.59,15,5,2,Sunny,Sunny
18.55,85.91,66.42,0.14,999.56,8,1,8,Rainy,Cloudy
30.96,31.49,12.82,0.0,1014.06,4,4,1,Sunny,Rainy
45.67,51.9,8.69,7.21,1015.7,15,1,5,Sunny,Sunny
14.51,55.87,23.0,0.0,1014.78,23,5,11,Cloudy,Cloudy
31.16,68.64,28.33,0.91,1012.33,9,5,8,Cloudy,Cloudy
45.74,35.92,9.59,7.49,1016.68,11,5,8,Sunny,Cloudy
28.33,50.75,1.18,6.13,1007.09,15,3,12,Sunny,Cloudy
14.05,45.33,49.24,0.0,1003.1,19,1,10,Cloudy,Sunny
31.6,46.08,1.2,4.6,1028.36,15,5,2,Sunny,Sunny
42.73,12.76,0.04,0.0,1028.39,0,0,5,Sunny,Rainy
28.04,75.87,31.86,1.0,1018.59,9,3,8,Cloudy,Cloudy
21.06,57.35,27.62,1.77,1010.74,16,0,8,Cloudy,Cloudy
48.2,20.6,17.45,6.09,1007.33,12,4,5,Sunny,Sunny
34.74,71.33,30.37,4.29,1004.51,12,6,7,Cloudy,Sunny
26.13,47.48,15.86,3.19,1025.15,17,0,11,Sunny,Rainy
14.01,67.3,8.18,2.07,1008.86,17,3,10,Cloudy,Cloudy
34.13,34.6,21.6,2.48,1025.89,8,3,1,Sunny,Sunny
40.51,42.9,20.69,0.0,1007.4,7,3,6,Cloudy,Cloudy
12.41,93.01,86.67,0.65,992.23,17,5,7,Rainy,Sunny
42.91,42.24,13.38,7.33,1020.01,12,4,4,Sunny,Sunny
28.9,47.98,28.2,1.88,999.12,15,4,5,Cloudy,Cloudy
35.49,26.78,20.93,6.35,1026.1,10,4,1,Sunny,Rainy
8.22,92.81,60.62,0.44,987.02,16,4,3,Rainy,Rainy
20.03,78.68,27.45,0.87,1011.77,18,3,3,Cloudy,Cloudy
26.69,52.83,5.69,0.0,1017.32,23,0,10,Sunny,Cloudy
-1.91,77.54,82.38,0.11,984.31,18,5,11,Rainy,Cloudy
22.85,77.58,12.56,2.33,1016.93,11,0,11,Cloudy,Cloudy
22.37,74.68,88.0,0.68,996.21,9,5,4,Rainy,Rainy
31.87,46.15,15.26,2.19,997.9,14,1,7,Cloudy,Sunny
37.14,55.02,39.73,2.3,999.46,10,0,7,Cloudy,Sunny
8.41,93.92,80.87,0.0,985.69,22,4,9,Rainy,Rainy
31.08,36.54,16.58,8.16,1011.01,10,3,10,Sunny,Rainy
13.52,94.47,93.85,0.0,982.57,21,2,5,Rainy,Sunny
17.99,64.57,39.04,1.12,1001.9,18,4,3,Cloudy,Cloudy
33.39,28.46,15.06,7.42,1020.06,10,0,10,Sunny,Rainy
0.38,77.96,62.98,0.56,994.45,17,4,10,Rainy,Rainy
49.12,42.62,5.44,0.0,1023.0,5,3,5,Sunny,Sunny
45.99,41.11,14.51,5.42,1005.35,10,5,8,Sunny,Sunny
31.93,13.37,5.54,0.0,1009.45,5,0,1,Sunny,Cloudy
45.6,41.25,11.8,0.0,1020.1,4,3,7,Sunny,Rainy
24.4,74.46,42.57,0.0,1007.13,19,5,4,Cloudy,Cloudy
5.76,69.82,72.73,0.32,980.56,18,5,9,Rainy,Cloudy
-2.67,84.55,78.08,0.12,989.36,18,1,1,Rainy,Rainy
35.34,54.54,15.76,1.35,1015.63,18,6,8,Sunny,Sunny
5.38,83.06,82.48,0.85,989.26,10,3,12,Rainy,Rainy
7.08,72.35,50.79,1.08,984.89,13,4,2,Rainy,Rainy
43.32,37.05,4.86,1.83,1018.9,8,1,3,Sunny,Sunny
5.87,93.05,55.1,0.0,983.62,1,0,2,Rainy,Cloudy
17.34,68.75,82.98,0.38,980.85,17,6,6,Rainy,Rainy
34.72,70.49,31.44,2.12,1005.09,12,0,5,Cloudy,Cloudy
29.95,78.25,26.64,2.49,1000.04,16,1,4,Cloudy,Cloudy
49.09,54.84,20.8,8.08,1023.24,10,3,5,Sunny,Sunny
22.3,75.36,40.34,0.0,1000.35,4,2,10,Cloudy,Cloudy
4.7,87.66,91.47,0.0,980.66,0,3,10,Rainy,Cloudy
41.01,15.92,10.76,7.57,1014.97,11,4,9,Sunny,Sunny
42.8,47.19,9.31,5.81,1011.31,16,1,7,Sunny,Cloudy
41.61,50.67,2.17,9.3,1007.62,15,1,4,Sunny,Cloudy
23.93,24.62,8.18,1.41,1017.02,18,0,1,Sunny,Sunny
19.03,98.1,43.99,0.69,996.81,14,0,7,Rainy,Rainy
25.64,77.78,10.88,2.9,1008.76,16,2,8,Cloudy,Cloudy
25.71,73.49,10.53,0.0,1008.91,3,2,3,Cloudy,Cloudy
27.78,74.21,25.6,3.4,1003.61,14,1,9,Cloudy,Cloudy
0.69,73.39,40.32,0.31,1001.22,18,0,1,Rainy,Rainy
8.56,85.64,47.16,0.1,996.08,18,5,9,Rainy,Rainy
23.93,86.11,86.89,0.5,977.47,10,0,6,Rainy,Rainy
32.61,34.16,17.39,7.79,1008.03,12,2,1,Sunny,Sunny
25.55,49.12,3.19,6.7,1017.39,14,1,1,Sunny,Rainy
32.88,32.74,14.27,6.87,1026.69,10,1,1,Sunny,Sunny
22.08,58.95,49.0,1.36,1007.31,11,4,2,Cloudy,Rainy
-4.39,87.42,65.53,0.0,997.21,20,5,1,Rainy,Rainy
11.93,69.83,60.36,0.75,986.67,15,2,3,Rainy,Rainy
5.21,79.28,67.71,0.0,994.88,0,3,2,Rainy,Rainy
19.94,45.91,22.58,2.55,1009.11,15,2,1,Cloudy,Cloudy
47.73,53.12,18.71,10.57,1025.53,14,3,6,Sunny,Sunny
17.38,86.78,63.44,0.66,997.63,15,1,4,Rainy,Rainy
25.04,41.62,17.16,0.0,1025.76,20,4,12,Sunny,Sunny
7.5,87.64,50.78,0.79,1000.67,10,3,1,Rainy,Rainy
35.53,41.95,16.79,0.0,1006.68,21,3,9,Sunny,Sunny
24.51,81.95,25.59,1.66,1001.98,15,1,9,Cloudy,Cloudy
42.16,15.53,5.61,10.17,1025.34,11,6,9,Sunny,Sunny
20.14,89.42,57.42,0.51,975.54,13,0,5,Rainy,Rainy
23.5,55.23,19.08,0.0,1007.01,20,6,4,Cloudy,Cloudy
8.49,92.2,90.84,0.0,978.98,0,5,9,Rainy,Sunny
15.85,88.26,73.16,0.0,1009.3,1,3,7,Rainy,Sunny
19.97,61.62,43.94,1.74,1002.36,16,5,3,Cloudy,Cloudy
32.42,51.86,7.89,10.07,1025.14,14,1,2,Sunny,Sunny
9.45,98.74,80.43,0.36,1001.2,8,2,12,Rainy,Rainy
36.54,14.24,11.7,0.0,1023.67,4,1,3,Sunny,Sunny
46.97,21.64,18.56,0.0,1023.44,4,0,7,Sunny,Cloudy
18.5,95.02,96.86,0.76,996.68,11,6,4,Rainy,Rainy
45.79,37.91,0.54,0.0,1007.01,22,4,7,Sunny,Sunny
41.48,48.68,15.46,9.78,1020.9,14,6,8,Sunny,Sunny
40.22,16.9,10.47,5.96,1021.18,9,0,9,Sunny,Sunny
25.83,42.86,49.46,2.31,1002.91,17,0,8,Cloudy,Sunny
39.5,13.55,2.98,0.0,1011.27,0,2,5,Sunny,Sunny
21.99,76.59,18.2,0.0,1016.5,21,5,4,Cloudy,Cloudy
16.2,80.94,44.05,2.55,1009.66,16,6,1,Cloudy,Rainy
33.37,51.93,11.51,0.0,1006.08,7,5,1,Sunny,Sunny
5.57,94.53,69.74,0.33,1004.92,18,2,9,Rainy,Cloudy
9.42,80.73,50.5,0.0,979.12,4,1,11,Rainy,Sunny
14.57,83.43,47.44,0.0,999.52,1,0,8,Rainy,Sunny
10.05,78.86,72.98,0.42,980.72,10,1,2,Rainy,Rainy
1.1,78.96,58.72,0.66,984.9,16,0,11,Rainy,Sunny
10.05,94.81,81.68,0.0,986.72,7,3,10,Rainy,Cloudy
29.89,53.54,21.62,8.71,1016.25,14,6,1,Sunny,Cloudy
15.21,76.25,91.82,0.19,990.83,8,3,9,Rainy,Rainy
37.46,25.45,15.12,0.0,1017.46,20,3,4,Sunny,Sunny
14.74,72.59,56.82,0.12,992.51,13,5,4,Rainy,Sunny
44.92,27.22,5.4,3.96,1013.27,17,2,5,Sunny,Sunny
34.59,39.81,7.21,10.28,1014.4,12,1,11,Sunny,Cloudy
41.7,50.42,9.85,5.45,1006.21,17,5,7,Sunny,Sunny
33.86,32.77,19.46,3.22,1026.72,9,4,12,Sunny,Rainy
22.79,43.3,17.46,3.37,1019.52,11,6,9,Cloudy,Rainy
37.17,49.6,19.59,7.18,1016.36,10,3,2,Sunny,Cloudy
28.69,51.97,44.05,0.0,1002.75,7,4,9,Cloudy,Cloudy
20.15,45.12,41.6,0.0,1012.05,22,4,9,Cloudy,Rainy
7.27,84.97,48.95,0.0,998.75,7,3,12,Rainy,Rainy
11.52,76.46,73.01,1.13,995.71,13,2,3,Rainy,Rainy
15.62,71.07,43.66,0.0,1009.18,0,0,1,Cloudy,Rainy
45.54,43.53,2.6,0.0,1011.0,4,2,5,Sunny,Sunny
7.62,71.54,77.03,0.0,1003.82,20,3,8,Rainy,Sunny
27.91,53.3,11.01,1.72,1014.95,18,1,2,Sunny,Cloudy
34.85,36.54,17.32,11.33,1006.13,14,3,9,Sunny,Sunny
-1.91,78.92,95.38,0.0,990.45,20,1,11,Rainy,Cloudy
31.78,46.73,38.6,1.15,1007.05,8,6,9,Cloudy,Cloudy
32.57,62.9,42.13,3.55,1014.3,11,5,9,Cloudy,Cloudy
38.38,19.41,14.45,0.0,1017.77,5,6,9,Sunny,Sunny
31.7,35.83,3.49,10.13,1017.94,15,3,10,Sunny,Sunny
40.55,11.5,4.77,2.03,1006.87,18,6,5,Sunny,Sunny
45.19,15.57,1.76,7.74,1023.89,15,5,7,Sunny,Sunny
34.24,41.76,19.26,7.89,1008.48,10,2,1,Sunny,Sunny
5.69,83.39,53.43,0.0,995.59,4,4,11,Rainy,Sunny
43.53,32.05,8.33,2.88,1022.37,9,1,3,Sunny,Rainy
13.39,92.97,55.31,0.0,998.94,21,6,5,Rainy,Sunny
38.31,28.53,19.72,0.0,1015.27,2,1,3,Sunny,Rainy
20.65,42.8,47.11,1.05,1018.51,17,3,2,Cloudy,Rainy
12.34,88.96,70.66,0.0,979.45,21,0,4,Rainy,Sunny
31.05,74.23,41.47,1.43,1010.58,10,5,8,Cloudy,Rainy
32.72,45.89,15.62,1.53,1018.19,18,5,4,Sunny,Sunny
-0.57,72.02,98.91,0.01,1007.47,17,4,10,Rainy,Rainy
27.34,56.59,8.4,3.33,998.73,10,6,9,Cloudy,Cloudy
6.32,85.81,54.42,0.73,1003.17,15,0,2,Rainy,Rainy
19.96,52.01,11.59,0.0,1018.45,20,4,12,Sunny,Cloudy
31.2,58.78,31.65,4.11,1015.43,13,4,5,Cloudy,Cloudy
11.85,72.42,62.61,0.0,978.25,21,3,5,Rainy,Rainy
7.51,81.36,90.45,0.0,994.98,7,0,1,Rainy,Sunny
40.21,30.3,7.34,4.88,1012.59,9,6,9,Sunny,Sunny
28.97,59.28,49.2,2.93,997.44,12,5,4,Cloudy,Sunny
41.53,18.26,20.26,9.81,1008.5,11,6,3,Sunny,Rainy
41.83,54.74,2.45,6.52,1019.76,11,6,7,Sunny,Rainy
19.34,98.62,86.49,0.02,982.9,13,1,7,Rainy,Sunny
42.51,27.42,16.16,0.0,1007.57,0,1,5,Sunny,Sunny
27.51,78.67,27.01,1.36,1008.45,17,6,7,Cloudy,Cloudy
18.73,78.22,92.95,0.11,991.38,14,1,6,Rainy,Rainy
16.68,90.9,49.44,0.99,995.29,16,5,7,Rainy,Rainy
25.6,65.89,42.51,0.0,1009.54,21,2,8,Cloudy,Rainy
25.77,58.3,37.54,1.88,1003.33,11,2,10,Cloudy,Cloudy
25.93,53.39,41.88,0.96,1011.61,18,4,8,Cloudy,Cloudy
50.0,15.72,4.69,4.11,1018.5,9,0,6,Sunny,Sunny
17.11,86.86,80.62,0.37,978.07,11,6,5,Rainy,Rainy
9.97,75.8,43.54,0.5,999.67,10,6,1,Rainy,Rainy
20.12,83.48,65.41,0.24,989.21,10,4,5,Rainy,Cloudy
4.62,83.65,76.01,1.25,991.95,11,6,1,Rainy,Rainy
4.12,96.78,63.34,0.64,999.28,17,6,2,Rainy,Cloudy
37.96,34.31,6.51,0.0,1021.68,4,1,9,Sunny,Sunny
30.76,43.26,36.05,3.07,1000.33,11,4,8,Cloudy,Cloudy
18.27,77.87,60.55,1.06,1001.63,11,3,8,Rainy,Rainy
38.12,32.44,7.62,10.4,1017.62,12,1,3,Sunny,Cloudy
25.41,70.01,16.89,0.68,1008.99,8,6,2,Cloudy,Cloudy
30.96,61.09,23.51,2.28,1001.64,14,5,7,Cloudy,Cloudy
